Sütun,Ortalama,Medyan,Mod,Standart Sapma,Varyans
Okumak İsteyenler,216.09070796460176,67.0,34.0,660.7710943742296,436618.43916051707
Şu Anda Okuyanlar,15.793141592920353,4.5,1.0,53.16507564675122,2826.5252685247797
Okumuş Olanlar,51.08517699115044,21.0,0.0,99.58126306084172,9916.42795279256
Sayfa Sayısı,357.3595132743363,320.0,320.0,194.17870363647563,37705.36894594224
