Kitap Adı,Yazar,Okumak İsteyenler,Şu Anda Okuyanlar,Okumuş Olanlar,Zaman,Dil,Sayfa Sayısı,Yayıncı
Moby Dick,by Herman Melville,1087,74,192,2018,İngilizce,312,Standard Ebooks
Alacakaranlık,by Stephenie Meyer,3704,287,510,"Nov 07, 2017",Türkçe,400,Epsilon Yayinevi
A Doll’s House,by Henrik Ibsen ve Henrik Ibsen,110,8,14,2021,İngilizce,456,Standard Ebooks
Harry Potter Ve Azkaban Tutsagi,by J. K. Rowling,3134,222,910,"October 1, 2001",Türkçe,214,Mosaik Verlag
"Du contrat social, ou Principes du droit politique..",by Jean-Jacques Rousseau,102,10,8,1782,İngilizce,218,[s.n.]
The Utopia Of Sir Thomas More,by Thomas More,191,13,22,1912,İngilizce,147,The Macmillan Company
Machiavelli,by Niccolò Machiavelli,794,55,125,1905,Dil bilgisi yok,150,Nutt
Auswahl aus Platons Politeia,by Πλάτων,492,37,63,1898,Almanca,181,Buchhandlung des Waisenhauses
The Art of War,by Sun Tzu,3103,179,154,2020,Fransızca,189,Standard Ebooks 
Bacon's essays,by Francis Bacon,127,15,10,1908,İngilizce,228,Cambridge University Press
Alice harikalar ülkesinde,by Lewis Carroll,1188,86,251,1998,Türkçe,250,Engin Yayincilik
Sadist,by Stephen King,1955,95,208,2007,Türkçe,214,Altin Kitaplar
"Narrative of the Life of Frederick Douglass, an American Slave",by Frederick Douglass,194,13,27,2022-02-15,İngilizce,171,Pressbooks
Die Bahn und der rechte Weg des Lao-Tse,by Laozi,183,15,9,1930,Almanca,70,Insel-Verlag
A Vindication of the Rights of Woman,"by Mary Wollstonecraft, Graphyco Editions ve Jan Cramer",146,7,4,2022-02-15,İngilizce,238,"Ryerson Pressbooks, Pressbooks"
Much Ado About Nothing,by William Shakespeare,132,8,22,1956-05,İngilizce,302,Yale University Press
Life on the Mississippi,by Mark Twain,144,9,4,1969,İngilizce,671,Caedmon
Herodotus,"8, 1-90: Artemisium and Salamis. With introd. and notes by E.S. Shuckburgh.",251,23,25,1887,Dil bilgisi yok,182,University Press
Walden,by Henry David Thoreau,336,32,51,2014,İngilizce,222,Standard Ebooks
Soneler.,by William Shakespeare,207,9,23,1994,Türkçe,174,Remzi Kitabevi
Foundation,by Isaac Asimov,949,68,378,2013,Korece,320,Golden Branch
The faerie queene,"disposed into XII bookes, fashioning twelue morall vertues.",94,2,3,1609,İngilizce,363,Printed by H.L. for Mathew Lownes
Ben Robot,by Isaac Asimov,958,63,259,"Oct 17, 2016",Türkçe,248,Ithaki Yayinlari
다크타워 1,최후의총잡이,674,41,110,2009,Korece,893,Hwang Geumgaji
Ihanet Noktasi,by Dan Brown,235,28,131,2007,Türkçe,512,Altin Kitaplar
Le Parc Jurassic,by Michael Crichton,802,45,204,1992,Fransızca,441,Robert Laffont
The Book of the Damned: By Charles Fort,by Charles Fort ve Charles Fort,85,4,3,1919,İngilizce,311,Boni and Liveright
Evrenin sonundaki restoran,by Douglas Adams,206,13,103,1996,Türkçe,280,Sarmal Yayinevi
Abatorul cinci,by Kurt Vonnegut,860,35,345,2014,Rumence,200,Art
The Napoleon of Notting Hill,by Gilbert Keith Chesterton,75,7,7,2017,İngilizce,254,Standard Ebooks
Androidler Elektrikli Koyun Düşler Mi?,by Philip K. Dick,549,34,221,2014,Türkçe,289,Altıkırkbeş
Kör suikastçi,by Margaret Atwood,211,4,25,2001,Türkçe,655,Oğlak
The Gulag Archipelago 1918-1956,an experiment in literary investigation,211,8,23,2002,İngilizce,472,Perennial
Le trône de fer,L'intégrale 1,7421,532,684,2011,Fransızca,549,J'ai Lu
Karanlığın Sol Eli,by Ursula K. Le Guin,424,18,72,1993,Türkçe,357,Ayrıntı Yayınları
Dorothy and the Wizard in Oz,"by L. Frank Baum, John R. Neill, Jenny Sánchez ve Thomas Langois",70,3,17,1908,İngilizce,123,"Copp, Clark"
Frankenstein,by Mary Shelley,79,10,13,1818,İngilizce,124,Distributed Proofreaders/Project Gutenberg
A Modern Utopia,by H. G. Wells,72,1,12,1905,İngilizce,205,T. Fisher Unwin
Cagri.,by Stephen King,363,16,93,1979,Türkçe,402,Altin Kitaplar Yayinevi
Le deuxième sexe,by Simone de Beauvoir,459,45,25,1986,Fransızca,416,Gallimard
The Mysterious Island,by Jules Verne,105,7,25,2016,İngilizce,325,Standard Ebooks
She,by H. Rider Haggard,71,8,5,2020,İngilizce,187,Standard Ebooks
Le Maitre Du Haut Chateau,by Philip K. Dick ve Michelle Charrier,362,10,142,"December 31, 1998",Fransızca,317,Editions 84
Apocalipsis,by Stephen King,858,43,151,1992,İspanyolca,117,Plaza & Janes Editores S.A.
Vakif ve Imparatorluk,by Isaac Asimov,175,16,192,"Nov 01, 2005",Türkçe,468,Ithaki Yayinlari
Los Juegos del Hambre 2 - En llamas,by Suzanne Collins,926,56,428,"Nov 13, 2014",İngilizce,222,"Molino, RBA Molino"
A wizard of earthsea,by Ursula K. Le Guin,634,28,146,1968,İngilizce,205,Parnassus Press
Second Foundation,by Isaac Asimov,190,4,184,2007-03-02,Fransızca,322,Denoel
Roughing It,by Mark Twain,73,3,5,1913,İngilizce,195,Harper and Brothers
"A la croisée des mondes, tome 3",Le Miroir d'ambre,149,4,144,"March 14, 2001",Fransızca,472,Gallimard Jeunesse
Des fleurs pour Algernon,by Daniel Keyes,784,34,176,2011,Fransızca,443,Flammarion
Fictions,by Jorge Luis Borges,237,15,53,1984-12-10,Fransızca,185,Gallimard
Tepki.,by Stephen King,345,19,62,1985,Türkçe,566,Altin
Boxi Jiekexun yu shen huo zhi dao,by Rick Riordan,3700,361,598,2010,Çince,282,Jie li chu ban she
The Lost World,by Michael Crichton,244,16,44,1995,İngilizce,393,BCA
Het teken van drie,by Stephen King,207,15,135,1991,Felemenkçe,413,Luitingh-Sijthoff
De Geïllustreerde Man,by Ray Bradbury,223,5,47,1976,Felemenkçe,257,Born
Els jocs de la fam III. L'ocell de la revolta,by Suzanne Collins,613,37,372,"Jan 08, 2013",Fransızca,604,labutxaca
"Hosça kal,balik için tesekkürler",by Douglas Adams,71,3,123,1996,Türkçe,219,Sarmal Yayinevi
Droits de l'homme ou Réponse à l'ouvrage de Monsieur Burke contre la révolution françoise,"by Thomas Paine, T. Paine ve Thomas Thomas Paine",64,3,7,1791,Fransızca,136,Chez les freres Herold
Seul sur Mars,by Andy Weir ve R.C. Bray,661,40,394,"Oct 16, 2015",İngilizce,201,BRAGELONNE
Childhood's End,by Arthur C. Clarke,225,6,59,"Oct 04, 2008",İngilizce,302,Standard Ebooks
The Oresteia of Aeschylus,by Aeschylus,59,4,9,1893,İngilizce,151,Methuen
American Gods,by Neil Gaiman,598,31,120,2016-09,İngilizce,784,William Morrow
Mülksüzler,İkircikli Bir Ütopya,245,11,60,2000,Türkçe,279,Metis
Çorak topraklar,by Stephen King,273,20,125,1994,Türkçe,271,Altin Kitaplar Yayinevi
内裤超人与尿布博士,by Dav Pilkey,541,45,62,2011,Çince,444,Nanhai chu ban gong si
UBIK,by Philip K. Dick,141,6,88,1997,Lehçe,238,Salamandra
L'hÃ©ritage de saint leibowitz,by Walter M. Miller Jr.,316,8,99,"Jul 02, 1998",Fransızca,326,"Denoël, DENOEL"
The life and adventures of Santa Claus,"by L. Frank Baum, David Guerra, Mary Cowles Clark ve Charles Santore",66,1,7,1902,İngilizce,206,The Bowen-Merrill company
Dune mesihi,by Frank Herbert ve Michel Demuth,373,32,185,1997,Türkçe,298,Sarmal Yayinevi
"La roue du temps, l'invasion des tenebres 1",by Robert Jordan,728,68,202,"Jul 18, 1997",İngilizce,412,Pocket
Ecriture,Mémoires d'un métier,634,33,110,2001,Fransızca,377,Albin Michel
Solaris,by Stanisław Lem,247,16,58,1995,İngilizce,723,Pocket
"La Ballade de Pern, tome 1",Le Vol du dragon,306,14,87,"January 1, 1989",Fransızca,309,Pocket
Kure.,by Michael Crichton ve Jacques Polanis,144,5,36,1995,Türkçe,405,Inkilap Kitabevi
"Democracy in America, tr. by H. Reeve","by Alexis de Tocqueville, Gustave de Beaumont, Eduardo Nolla, Henry Reeve, John Canfield Spencer ve J. P. Mayer",59,5,2,1862,İngilizce,233,Pocket
"The Tombs of Atuan (The Earthsea Cycle, Book 2)",by Ursula K. Le Guin,137,4,85,"June 1, 1984",İngilizce,160,Spectra
Oczy smoka,by Stephen King,285,20,61,2015,Lehçe,399,Albatros
La route,by Cormac McCarthy ve Tom Stechschulte,632,18,186,2008-09,Fransızca,345,Éd. France loisirs
The world set free,a story of mankind.,55,7,2,1914,İngilizce,307,E.P. Dutton
"Yasam,evren ve her sey",by Douglas Adams,113,11,175,1996,Türkçe,240,Sarmal Yayinevi
Prisonniers du temps,roman,160,9,75,2000-05,Fransızca,503,Le Grand livre du mois
La proie,by Michael Crichton,112,8,56,2004-07,Fransızca,471,Éd. France loisirs
Neuromancien,by William Gibson,636,42,139,1988,Fransızca,318,Éditions J'ai lu
Milo i volshebnai͡a budka,by Norton Juster,630,61,136,2009,Rusça,205,Makhaon
Denʹ triffidov,[sb. fantast. romanov],157,5,56,2003,Rusça,781,"AST, 2002."
Black Boy,by Richard Wright,195,14,19,1977,İngilizce,144,Caedmon
Artemis Gwarth,a chôd tragwyddoldeb,218,10,57,2009,Galce,362,Gomer
Sonsuzluğun sonu,by Isaac Asimov,218,10,38,"Jan 01, 2016",Türkçe,240,Monokl
La planète des singes,by Pierre Boulle,147,8,27,"August 15, 2001",Fransızca,417,Pocket
Eragon,Das Vermächtnis der Drachenreiter,783,48,221,2006,Almanca,258,cbj Verlag
En uzak sahil.,by Ursula K. Le Guin,78,1,63,1995,Türkçe,207,Metis Yayinlari
Cep,by Stephen King,543,33,130,2006,Türkçe,432,Altin Kitaplar
"The Chronicles of Narnia- The Magician's Nephew, The Lion the Witch and the Wardrobe, The Horse and His Boy, Prince Caspian, The Voyage of the Dawn Treader, The Silver Chair, The Last Battle",by C.S. Lewis,543,27,104,"Dec 05, 2008",İngilizce,369,Scholastic
Thinner,by Stephen King,246,22,76,2012,İngilizce,267,Hodder
Ölü Gezegen,by Isaac Asimov,154,7,63,1984,Türkçe,336,Albin Kitaplar
Mort,by Terry Pratchett,190,7,172,2001,İngilizce,243,HarperTorch
La nuit,by Elie Wiesel,393,28,65,1958,Fransızca,321,Éditions de Minuit
Xoc de reis,by George R. R. Martin ve George RR Martin,381,25,248,2017,Katalanca,217,Alfaguara
Vakıf'ın Sınırı,by Isaac Asimov,153,4,117,"Nov 01, 2006",Türkçe,313,Ithaki Yayinlari
Dragon Rouge,by Thomas Harris,468,36,54,2002-07,Fransızca,419,Éd. France loisirs
"Etoiles, garde-d-vous!",by Robert A. Heinlein,195,8,92,1991,Fransızca,451,J'ai Lu
Biologie,by Neil Alexander Campbell,482,37,26,1993,Fransızca,1190,Éditions du Renouveau Pédagogique
Cat's Cradle,by Kurt Vonnegut,316,18,148,1963,İngilizce,227,Delacorte Press/Seymour Lawrence
The Foundation Trilogy,by Isaac Asimov,243,18,70,1952,İngilizce,695,"Doubleday & Company, Inc."
I͡A - legenda,by Richard Matheson,98,8,34,2010,Rusça,476,"Domino, Ėksmo"
Buick 8,by Stephen King,92,2,41,2003,Türkçe,463,Altin Kitaplar
The poetical works of Percy Bysshe Shelley.,by Percy Bysshe Shelley,51,2,4,1871,Dil bilgisi yok,Sayfa sayısı bilgisi yok,J. C. Hotten
Cazador de Sueños,by Stephen King,234,10,57,2002,İspanyolca,624,Plaza y Janes
Dandelion wine,a novel.,149,7,36,1957,İngilizce,281,Doubleday
Scheepsberichten,by Annie Proulx,93,43,0,1995,Felemenkçe,399,De Geus
Rendezvous with Rama,by Arthur C. Clarke ve Arthur C. Clarke,278,14,134,"October 12, 1977",İngilizce,465,Del Rey
Something Wicked This Way Comes,by Ray Bradbury,313,14,52,1991,İngilizce,307,Alfred A. Knopf
Révolte sur la lune,by Robert A. Heinlein,269,8,93,2016,Fransızca,511,Livre de Poche
Les lois de Platon,by Πλάτων,49,5,2,1842,Fransızca,520,Charpentier
Praticamente Inofensiva,by Douglas Adams,67,1,112,2006,Portekizce,139,ARQUEIRO
Atlas shrugged,by Ayn Rand,456,23,116,1996,İngilizce,1079,"Signet, Turtleback Books"
Sonbahar Ülkesi,"""...yılın hep son döneminin yaşandığı ülke...""",89,4,9,2015,Türkçe,420,İthaki
Face aux feux du soleil,by Isaac Asimov,118,8,59,1973,Fransızca,259,Editions J'ai Lu
Ritos iguales,by Terry Pratchett ve Celia Imrie,88,12,82,2001,İspanyolca,267,Plaza & Janeès
Xenophon's Anabasis,by Xenophon,48,6,0,1896,Ancient Greek,152,Macmillan
Mesaj,by Carl Sagan,701,35,129,"Oct 27, 2015",Türkçe,456,Say Yayinlari
El Capità Calçotets i l'atac dels vàters parlants,by Dav Pilkey,176,13,24,2002,Katalanca,134,Cruïlla
La quête du dragon,by Anne McCaffrey,120,7,27,"February 1, 1990",Fransızca,443,Presses Pocket
Les Enfants De Dune,by Frank Herbert,198,14,88,"May 23, 1978",İngilizce,327,"Editions Robert Laffront, S.A."
Congo,by Michael Crichton,119,5,64,1993-01,İngilizce,743,Ballantine Books
L'anneau-monde,by Larry Niven,220,10,125,2003,Fransızca,382,J'ai lu
