Kitap Adı,Yazar,Okumak İsteyenler,Şu Anda Okuyanlar,Okumuş Olanlar,Zaman,Dil,Sayfa Sayısı,Yayıncı
"Le Cycle de Dune, tome 5",L'Empereur-Dieu de Dune,123,3,102,"November 16, 1992",Fransızca,601,Pocket
Bleach vol 3,by Tite Kubo,83,3,12,2004,İngilizce,189,Shonen Jump Graphic Novel/Viz
Ennen Aatamia,by Jack London,44,3,2,2018-01-07,Fince,158k,Project Gutenberg
Le Chant Du Dragon,by Anne McCaffrey,192,9,52,"Yayıncı
Editions Albin Michel",Dil bilgisi yok,106,"Dil Fransızca"
Etat d'urgence,by Michael Crichton,74,3,14,"Jan 12, 2006",İngilizce,656,ROBERT LAFFONT
"Perelandra (Space Trilogy, Bk. 2)",by C.S. Lewis,67,3,24,"September 1, 1965",İngilizce,222,Scribner Paper Fiction
Elue (Folio Junior) (French Edition),by Lois Lowry,203,10,56,2008-10-01,İngilizce,250,Gallimard Education
The new Machiavelli,by H. G. Wells,32,3,1,1911,İngilizce,490,McLeod & Allen
The three stigmata of Palmer Eldritch,by Philip K. Dick ve Luke Daniels,69,2,33,1978,İngilizce,204,Triad
Criptonomicón III. El Código Aretusa,by Neal Stephenson,111,7,45,junio 2002,İspanyolca,350,Ediciones B
Salammbo,a story of ancient Carthage,29,2,5,1919,İngilizce,394,Brentano's
L'investigatore olistico Dirk Gently,by Douglas Adams,184,8,61,1996-02,İtalyanca,242,Feltrinelli
"Bogowie, honor, Ankh-Morpork",by Terry Pratchett,53,3,57,1997,Lehçe,145,Prószyński i S-ka
Die Frau DES Zeitreisenden,"by Audrey Niffenegger, William Hope ve Laurel Lefkow",408,21,71,"Jul 05, 2005",Almanca,176,Fischer Taschenbuch Verlag GmbH
Yandaş,by Veronica Roth,318,26,132,"Apr 13, 2016",Türkçe,520,Artemis Yayınlar
Capitaine Bobette Et Les Misérables Mauviettes Du P'Tit Coin Mauve,by Dav Pilkey,101,8,13,"Feb 01, 2007",Fransızca,199,Scholastic
Vuur uit de hemel (Het rad des tijds) (Dutch Edition),by Robert Jordan,96,7,59,"Oct 28, 2005",Almanca,894,Luitingh
The Last Unicorn,by Peter S. Beagle,179,7,41,1998,İngilizce,280,"G.K. Hall, Thorndike Press"
Viersprong van de schemer,by Robert Jordan,90,3,66,İngilizce,241,Standard Ebooks
Luitingh-Sijthoff,by Robert Jordan,92,4,67,İngilizce,120,Standard Ebooks
Beau comme un aéroport,"Dirk Gentle, détective holistique II",122,10,80,2003,Fransızca,352,Gallimard
Naruto.,by Masashi Kishimoto ve Frances Wall,178,11,14,2006,İngilizce,185,Viz
V for Vendetta,"by Alan Moore, David Lloyd ve Lloyd, David",157,3,112,2009,İngilizce,296,"Vertigo, DC Comics"
Ruzgarin On Iki Kosesi,by Ursula K. Le Guin,94,3,9,"Nov 05, 2011",Türkçe,320,Ayrinti Yayinlari
Uzun Bir Mektup,by Mariama Bâ,163,8,17,"Nov 07, 2017",Türkçe,302,Kaknüs Yayinlari
Metro 2033,"by Dmitry Glukhovsky, Ldp, Dmitri Glukhovsky, Glukhovskii D., Gluhovskij Dmitrij, Dmitrij A. Gluchovskij, Dmitry Glukhovsky, Dimitry Glukhovsky, DMITRIJ GLUHOVSKI ve Joan Josep Mussarra Roca",169,13,21,2007,Rusça,399,Populjarnaja Literatura
"Have Space Suit, Will Travel",by Robert A. Heinlein,90,3,25,2003,İngilizce,240,Del Rey/Ballantine Books
The princess and the goblin,by George MacDonald,29,2,3,1996,İngilizce,239,Project Gutenberg
Sans douceur excessive,by Lee Child,126,7,43,2009,İngilizce,329,Éd. du Seuil
Todos los hombres del presidente,by Carl Bernstein ve Bob Woodward,92,4,12,1984,İspanyolca,331,La Oveja Negra
Island,by Aldous Huxley,86,6,15,1968,İngilizce,295,Bantam Books
Les Hérétiques de Dune,by Frank Herbert,102,8,72,"April 9, 2001",İngilizce,481,Pocket
La guerre des Ã©toiles. L'hÃ©ritier de l'empire,by Timothy Zahn,158,9,49,"Apr 01, 1992",İngilizce,214,Presses de la Cité / La saga continue!
La Sombra de Ender,by Orson Scott Card,107,94,0,2012,İspanyolca,576,Zeta
Maximum Ride,The Angel Experiment,163,13,31,2006,İngilizce,480,Thorndike Press
Six of Crows,by Leigh Bardugo,1797,109,150,2021,İngilizce,496,Imprint
El mensajero,"by Lois Lowry, David Morse ve Fikret Topalli",154,5,41,"Sep 26, 2013",İngilizce,350,Destino
Les fontaines de paradis,by Arthur C. Clarke,72,2,26,1986,Fransızca,284,E ditions J'ai Lu
La Maison des mères,"by Frank Herbert, Scott Brick, Jane Carr, Katherine Kellgren ve Euan Morton",92,3,37,"April 9, 2001",Fransızca,665,Pocket
The mote in God's eye,"by Larry Niven, Jerry Pournelle ve L.J. Ganser",143,4,63,1974,İngilizce,560,Pocket Books
Artemis,a novel,169,10,149,2017,İngilizce,322,Pocket Books
The Sirens of Titan,by Kurt Vonnegut,160,9,23,2006,İngilizce,326,Dial Press Trade Paperbacks
New Atlantis,by Francis Bacon,45,2,2,1925,İngilizce,64,Haldeman-Julius Co.
InuYasha. vol 33,by 高橋留美子,45,1,7,2008,İngilizce,312,VIZ Media
Procrastination,by Terry Pratchett,59,2,54,2005,Fransızca,Sayfa sayısı bilgisi yok,Librairie L'Atalante
Ultimate Spider-Man.,"by Brian Michael Bendis, Mark Bagley, Marvel Comics, Trevor Hairsine, Joe Quesada, Andy Kubert, Danny Miki ve Stuart Immonen",122,17,9,2006,İngilizce,Sayfa sayısı bilgisi yok,Marvel Comics
Ogni giorno della mia vita,by Nicholas Sparks,160,10,14,2006,İtalyanca,334,Frassinelli
La vita invisibile di Addie LaRue,by V. E. Schwab,676,24,70,Zaman bilgisi yok,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Yayıncı bilgisi yok
Mother night,by Kurt Vonnegut,155,5,43,1999,İngilizce,268,Delta Trade Paperbacks
Bi zhi dao,by Robert Jordan,80,3,48,2009,Çince,Sayfa sayısı bilgisi yok,"Qi huan ji di chu ban, Jia ting chuan mei cheng bang fen gong si fa xing"
What's wrong with the world,by Gilbert Keith Chesterton,41,3,1,1927,İngilizce,367,"Dodd, Mead and Co."
Babel-17,by Samuel R. Delany,85,5,28,April 1978,İngilizce,Sayfa sayısı bilgisi yok,Ace Books
The White Mountains,The Tripods #1,67,4,20,1967,İngilizce,184,Macmillan
Phlebas'i Hatirla,by Iain M. Banks,184,7,123,"Apr 13, 2019",Türkçe,600,Ithaki Yayinlari
Star Maker,by Olaf Stapledon,46,7,0,1972,İngilizce,267,"Penguin, Penguin Books"
Mes van dromen,by Robert Jordan,47,4,69,2006,Felemenkçe,847,Luitingh Fantasy
The Salmon of Doubt,by Douglas Adams,54,1,46,2002,İngilizce,Sayfa sayısı bilgisi yok,Harmony Books
Kindred,by Octavia E. Butler ve SparkNotes Staff,418,13,69,1988,İngilizce,264,Beacon Press
A history of New York from the beginning of the world to the end of the Dutch dynasty,"containing, among many surprising and curious matters ... ...",28,2,1,1891,İngilizce,330,A.L. Burt
Mona Liza Overdraiv,by William Gibson,55,1,69,1999,Rusça,Sayfa sayısı bilgisi yok,Ast
Count Zero,by William Gibson,61,6,76,1987,İngilizce,246,Berkley Publishing Group
The Stepford Wives,by Ira Levin,275,11,65,2004-06,İngilizce,195,HarperTorch
Het Jaar van de Vloed,by Margaret Atwood,61,2,36,2009,Felemenkçe,Sayfa sayısı bilgisi yok,Prometheus
Last Exit to Brooklyn (Black Cat Book; B543),"by Hubert Selby, Jr. ve Hubert, JR. Selby",107,2,13,1986,Dil bilgisi yok,Sayfa sayısı bilgisi yok,"Grove Press, Grove/Atlantic, Incorporated"
A Strange Manuscript Found in a Copper Cylinder,by James De Mille,27,2,0,2017,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
Краткая история быта и частной жизни,by Bill Bryson,91,4,35,2016,Rusça,637,ACT
Dragonsinger,by Anne McCaffrey,100,2,46,1980,İngilizce,Sayfa sayısı bilgisi yok,"Corgi, Bantam"
L'Âge de diamant,Ou le manuel illustré d'éducation à l'usage de filles,160,10,102,1998,Fransızca,635,LGF
Earth Abides,by George Rippey Stewart,78,4,22,"September 12, 1986",İngilizce,337,Fawcett
"Witch & Wizard, les rebelles du nouvel ordre t.1 ; les condamnés",by James Patterson ve Gabrielle Charbonnet,119,2,7,2012-01,Fransızca,Sayfa sayısı bilgisi yok,Hachette
Making Money,by Terry Pratchett,80,1,56,2014,İngilizce,Sayfa sayısı bilgisi yok,Harper
The Wood Beyond the World,"by William Morris, William Norris, William, Morris, William Morris, William William Morris, WILLIAM MORRIS ve Random House",21,7,0,2017,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
"Płyńcie łzy moje, rzekł policjant",by Philip K. Dick,63,3,34,2003,Lehçe,250,Dom Wydawniczy Rebis
Le château de verre,by Jeannette Walls,410,21,85,2008,Fransızca,374,Robert Laffont
La Rowane,roman,101,21,0,1992,Fransızca,285,O. Orban
For Colored Girls who have considered suicide / when the rainbow is enuf,A Choreopoem,227,13,7,"May 1, 1982",İngilizce,Sayfa sayısı bilgisi yok,Bantam
Les cantos d'Hypérion. La chute d'Hypérion 2,by Dan Simmons,64,2,65,"Nov 19, 1999",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Pocket
Mars la Verte,tome 2,48,2,48,"September 26, 1995",Fransızca,656,Presses de la Cité
Le retour des ténèbres,by Isaac Asimov ve Robert Silverberg,96,7,38,2009,Fransızca,535,Terre de Brume
Herr des lichts,science fiction-roman ...,105,1,41,1976,Almanca,315,W. Heyne
Uzay tacirleri,by Frederik Pohl ve Cyril M. Kornbluth,113,2,16,1996,Türkçe,193,Metis Yayinlari
De wind door het sleutelgat,by Stephen King,77,5,21,2012,Felemenkçe,317,Luitingh-Sijthoff
Cennetin Ejderleri,by Carl Sagan,74,4,21,"Oct 27, 2012",Türkçe,272,Say
Quatre,by Veronica Roth,183,9,28,"Mar 03, 2015",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Éditions AdA
Hyperion 2,by Dan Simmons,332,15,180,"Jun 20, 1995",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Pocket/Presses Pocket
"The Coming Race; Or, The New Utopia: Or the New Utopia","by Edward Bulwer Lytton, Baron Lytton",22,1,4,1871,İngilizce,227,F. B. Felt
Years,by Virginia Woolf,27,0,0,2016,İngilizce,416,Penguin Random House
Karanlik Orman,by 刘慈欣,162,9,47,"Aug 22, 2018",Türkçe,600,Ithaki Yayinlari
The Stars My Destination,by Alfred Bester,71,3,42,"Jun 30, 2011",İngilizce,236,"iPicturebooks, ipicturebooks"
死神永生 (Sǐshén yǒngshēng),by 刘慈欣,77,9,77,2010,Çince,513,Chongqing chu ban she
Robots and Empire,by Isaac Asimov,99,7,56,1986,İngilizce,Sayfa sayısı bilgisi yok,Del Rey/Ballantine Books
重生,Revival,125,5,27,2017-01,Çince,Sayfa sayısı bilgisi yok,Hunan wen yi chu ban she
Het Malazijnse Rijk (Een vertelling uit het Malazijnse Boek van de Gevallenen),by Steven Erikson,202,7,64,2000-05-31,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Samenw. uitgeverijen Meulenhoff Boekerij
Robot dreams.,by Isaac Asimov,70,7,24,1989,İngilizce,474,"VGSF, Orion Publishing Group, Limited"
La invasión,by Katherine Applegate,100,7,30,1999,İspanyolca,217,Scholastic
Brave New World Brave New World Revisited,by Aldous Huxley,59,5,49,2007,İngilizce,432,Random House of Canada
Stand on Zanzibar,by John Brunner,111,6,18,1976,İngilizce,650,"Ballentine Books, Ballantine Pb"
Jedyna,by Kiera Cass,395,17,51,2014,Lehçe,320,Jaguar
Breakfast of champions,"or, Goodbye blue Monday!",145,6,82,1973,İngilizce,295,Delacorte Press
Gateway,by Frederik Pohl,124,5,37,"November 12, 1980",İngilizce,Sayfa sayısı bilgisi yok,Del Rey
Leviathan - Il risveglio,by James S. A. Corey,204,7,183,2015-06-11,İtalyanca,Sayfa sayısı bilgisi yok,Fanucci
Animal Farm and 1984,by George Orwell,230,21,43,2003,İngilizce,385,Harcourt
Mao tou ying wang guo,An suan : The capture,196,9,15,2009,Çince,189,Hu bei shao nian er tong chu ban she
Cyberspace,by William Gibson,65,2,60,"January 1, 1988",Almanca,Sayfa sayısı bilgisi yok,Heyne
Pimp,the story of my life,269,10,19,2011,İngilizce,302,Cash Money Content
Un feu sur l'abîme,by Vernor Vinge,147,6,88,"January 1, 1998",Fransızca,800,LGF
"Many Waters (A Companion to ""A Wrinkle in Time"")",by Madeleine L'Engle,110,6,29,"August 1, 1987",İngilizce,336,A Yearling Book
Saving the world,by James Patterson ve Valentina de Angelis,65,4,22,2014,İngilizce,417,Pocket Books
The Colorado kid,by Stephen King,119,4,29,2005-10,İngilizce,184,Hard Case Crime
Substance mort,by Philip K. Dick,135,6,68,1997,Fransızca,297,Denoe l
Watchmen,"by Alan Moore, Dave Gibbons ve John Higgins",313,14,220,2019,İngilizce,320,DC Comics
The Difference Engine,by William Gibson ve Bruce Sterling,56,3,37,"January 1, 1992",İngilizce,448,Spectra
羊毛記,Wool,216,23,32,2013,Çince,586,Ying wu luo wen hua shi ye you xian gong si
Das Mitternachtskleid,ein Märchen von der Scheibenwelt,55,1,38,2011,Almanca,414,Manhattan
La bataille des Jedi,by Timothy Zahn,73,6,37,1996,Fransızca,369,Pocket
The player of games,by Iain M. Banks,107,2,102,1989,İngilizce,309,St. Martin's Press
Suzko tronua,by Rick Riordan,270,19,88,2012,Baskça,Sayfa sayısı bilgisi yok,Mezulari
Pattern Recognition,by William Gibson,90,4,72,2003,İngilizce,Sayfa sayısı bilgisi yok,Viking
Last and first men,a story of the near and far future,43,2,10,1988,İngilizce,313,"J.P. Tarcher, Distributed by St. Martin's Press"
"Looking backward, 2000-1887",by Edward Bellamy,51,1,3,1970, İngilizce, 320, "Yayıncı bilgisi yok"
George Routledge and Sons, Yazar bilgisi yok, 22, 179, 87, 1870, İngilizce, 156,"Yayıncı bilgisi yok" 
Z for Zachariah,by Robert C. O'Brien,172,13,8,2015,İngilizce,249,Simon Pulse
Cyberiada,by Stanisław Lem,60,7,32,2002,Lehçe,Sayfa sayısı bilgisi yok,Wydawnictwo Literackie
Dangerous Path,by Erin Hunter,119,10,54,"Apr 02, 2007",İngilizce,352,"HarperCollins Children's Books, imusti"
Tales of space and time,by H. G. Wells,41,1,4,1903,İngilizce,358,Macmillan & Co.
Valis,SF Masterworks,73,24,0,"Jun 06, 2013",İngilizce,Sayfa sayısı bilgisi yok,"Gollancz, Orion Publishing Group, Limited"
Power,by Naomi Alderman,108,1,45,2017,İngilizce,352,"Penguin Books, Limited"
Red Rising,by Pierce Brown,344,11,99,2014,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Del Ray
Klara ile Güneş,by Kazuo Ishiguro,258,5,52,"May 21, 2021",Türkçe,264,Yapı Kredi Yayınları
Roadside Picnic,by Аркадий Натанович Стругацкий ve Борис Натанович Стругацкий,157,9,75,2012,İngilizce,224,Chicago Review Press
Les Enfants de l'esprit,by Orson Scott Card,46,2,80,2003,Fransızca,413,J'ai lu
Parable of the sower,"by Octavia E. Butler, Damian Duffy, John Jennings ve Silvia Moreno",501,12,71,1993,İngilizce,299,Four Walls Eight Windows
Friday,by Robert A. Heinlein,67,3,28,1983,İngilizce,Sayfa sayısı bilgisi yok,Ballantine Books
Wishtree,by Katherine Applegate,95,6,6,2019,İngilizce,215,Feiwel and Friends
Chroniques lunaires - tome 3 Cress,"by Marissa Meyer, Guillaume Fournier ve Roxanna Erdman",150,14,40,"Oct 16, 2014",İngilizce,672,"POCKET JEUNESSE, n/a"
Nine princes in Amber,by Roger Zelazny,92,6,50,1972,İngilizce,175,Avon
Els testaments,by Margaret Atwood,201,3,25,2020,İspanyolca,416,Quaderns Crema S.A.
"Un raccourci dans le temps. 3, Une terre Ã  la dÃ©rive",by Madeleine L'Engle,82,2,41,2008-01-04,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Pocket
Xue mo fa zhi zui,Book one of the Dresden files : Storm front,185,8,136,2008,Çince,347,Qi huan ji di chu ban
Cinder,by Marissa Meyer,611,36,88,"Mar 11, 2020",İngilizce,497,Thorndike Striving Reader
Hillbilly-Elegie,by J. D. Vance,224,12,55,2017-04-07,İngilizce,308,Ullstein Verlag Gmbh
The man who fell to earth,by Walter S. Tevis,72,4,19,1999,İngilizce,209,Ballantine Pub. Group
2061,OdyssÃ©e trois,57,36,0,1999-01-04,İngilizce,256,J'ai lu
Project Hail Mary,by Andy Weir,385,12,151,"May 21, 2021",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Xander Uitgevers B.V.
Derzhava i revoli Łut Łsii Ła,[marksivs'ka nauka pro derzhavu i zavdanni Ła proletarii Łatu za revoli Łut Łsii],22,1,2,1920,Ukraynaca,112,Nakl. hurtka sot Łsialistiv
Si wang jie yao,by James Dashner ve James Dashner,189,15,67,2014,Çince,334,San cai wen hua chu ban shi ye you xian gong si
Altin Ošul,by Pierce Brown,104,1,52,"Oct 28, 2015",Türkçe,Sayfa sayısı bilgisi yok,Pegasus
Seveneves,by Neal Stephenson,75,3,35,2016,İngilizce,Sayfa sayısı bilgisi yok,William Morrow
Äon,Roman,48,2,28,2013,Almanca,654,Heyne
Dawn,by Octavia E. Butler ve Aldrich Barrett,118,6,46,"Jul 01, 1988",İngilizce,272,"Victor Gollancz, Orion Publishing Group, Limited"
School's Out-Forever (Maximum Ride),by James Patterson,79,4,21,May 2006,İngilizce,414,Little Brown and Company
Ready Player Two,The highly anticipated sequel to READY PLAYER ONE,226,10,46,Zaman bilgisi yok,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Yayıncı bilgisi yok
Revenge of the Sith,Star Wars: Episode III,111,11,11,2005,İngilizce,451,"Ballentine Books, Del Rey"
Methuselah's children,by Robert A. Heinlein,60,2,23,1973,İngilizce,175,New English Library
Tono-Bungay,by H. G. Wells,16,2,2,2019,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
The Sparrow,A Novel,101,1,32,"September 9, 1996",İngilizce,408,Villard
Guide de survie en territoire zombie,ce livre peut vous sauver la vie,68,2,38,2010,Fransızca,382,Librairie générale française
The Way We Live Now,by Anthony Trollope,38,2,5,2019,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
Interface,by M. T. Anderson,75,2,19,2004-10,Fransızca,274,Gallimard
Tunnel in the Sky,by Robert A. Heinlein,72,3,23,2005,İngilizce,272,Pocket Books
The Maze Runner,by James Dashner,1475,114,197,2010,Dil bilgisi yok,Sayfa sayısı bilgisi yok,"Chicken House, Chicken House Ltd"
Tom Sawyer ilmailija Huckleberry Finn'in jatko,by Mark Twain,17,6,0,2014-11-21,Fince,Sayfa sayısı bilgisi yok,Project Gutenberg
At the mountains of madness,and other tales of terror,146,4,54,1968,İngilizce,300,Panther Books
The Demolished Man,by Alfred Bester,57,29,0,1996,İngilizce,243,Vintage Books
Anathem,by Neal Stephenson,128,5,83,"Nov 05, 2014",Türkçe,848,Ayrinti
Déraison et sentiments,"La Première Loi, 2",61,3,68,2010,Fransızca,612,Pygmalion
A Voyage to Arcturus,by David Lindsay ve David Lindsay,19,0,0,2017,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
La sombra del Hegemón,by Orson Scott Card,45,52,0,2014,İspanyolca,464,B de Bolsillo
Six of Crows,2. La Cité corrompue,535,30,71,2017,Fransızca,662,Editions Milan
"By Mandel, Emily St. John Station Eleven Paperback - January 2015",by Emily St. John Mandel,285,9,90,2015-01-01,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Picador
Meneer Maandag,by Garth Nix,65,2,23,2003,Felemenkçe,224,Uitgeverij M
バトル・ロワイアル,"by Kōshun Takami, Masayuki Taguchi, Koushun Takami, Kashoun Takami, KOUSHUM TAKAMI ve Koushum Takami",80,3,32,1999,Japonca,666,Ōta Shuppan
Quicksilver,Volume One of The Baroque Cycle,73,4,41,2004,İngilizce,927,Arrow Books
"The Long Way to a Small, Angry Planet",by Becky Chambers,242,9,92,2015,İngilizce,Sayfa sayısı bilgisi yok,Hodder & Stoughton
Citizen of the Galaxy,by Robert A. Heinlein,52,4,27,1981,İngilizce,Sayfa sayısı bilgisi yok,Ballantine Books
Efsane,by Marie Lu,159,9,19,"Oct 28, 2014",Türkçe,320,Pegasus
The Bachman Books,by Stephen King,624,56,153,2012,İngilizce,978,Hodder
Hunger Games Trilogy,The Hunger Games; Catching Fire; Mockingjay,224,7,31,2010,İngilizce,Sayfa sayısı bilgisi yok,"Scholastic, Incorporated"
Caliban. La guerra,by James S. A. Corey,62,5,133,2015-11-12,İtalyanca,Sayfa sayısı bilgisi yok,Fanucci
Revelation space,by Alastair Reynolds ve John Lee,85,4,47,2000,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Orion Publishing Group
Mon prof est un extraterrestre,by Bruce Coville,79,6,11,Fransızca,Sayfa sayısı bilgisi yok,"Yayıncı Pocket"
Use of weapons,by Iain M. Banks,57,1,73,1990,İngilizce,400,OrbitBooks
Parable of the talents,a novel,99,5,33,1998,İngilizce,365,Seven Stories Press
Evicted,by Matthew Desmond ve Enrique Maldonado Roldn,177,10,29,2017,İngilizce,442,Broadway Books
Blood of Elves,by Andrzej Sapkowski,49,1,58,1994,İngilizce,Sayfa sayısı bilgisi yok,Orbit
Prodigy,by Marie Lu,117,10,21,2013,İngilizce,486,Thorndike Press
Memnoch le démon,by Anne Rice,67,4,27,1998-04,Fransızca,450,Plon
Steelheart,by Brandon Sanderson,95,6,61,2014,İspanyolca,408,Ediciones B
La casa en el mar más azul,by T. J. Klune ve Carlos Abreu Fetter,202,4,21,"Apr 27, 2022",İngilizce,496,Crossbooks
Welcome to the monkey house,a collection of short works,69,1,26,2006,İngilizce,331,Dial Press Trade Paperbacks
Dark matter,by Blake Crouch,369,16,103,2016,İngilizce,320,Crossbooks
The land of mist,by Arthur Conan Doyle,12,1,3,1926,İngilizce,285,A.L. Burt
Scarlet,by Marissa Meyer,111,10,23,"Mar 12, 2013",İngilizce,452,Scholastic
Replay,by Ken Grimwood,109,4,26,April 1996,İngilizce,313,Ace Books
Skyward,by Brandon Sanderson,79,2,43,2018,İngilizce,528,Gollancz
Aura,Bilingual Edition,100,4,5,"September 1, 1986","İngilizce, İspanyolca",160,"Farrar, Straus and Giroux"
Ceremony : (Penguin Orange Collection),"by Leslie Silko, Silko ve Leslie Marmon Silko",143,7,9,2016,İngilizce,272,"Penguin Books, Limited"
Son,by Lois Lowry,83,2,21,"Nov 05, 2001",Dil bilgisi yok,Sayfa sayısı bilgisi yok,"imusti, HarperCollins Childrens Books"
The lies of Locke Lamora,by Scott Lynch,179,7,90,2006,İngilizce,499,Bantam
Stories of Your Life and Others (Chinese Edition),by Ted Chiang,140,3,92,2015-05-01,İngilizce,302,Yilin Press
Perdido Street Station,by China Miéville,89,4,36,2003,İngilizce,623,Del Rey/Ballantine Books
The knife of never letting go,by Patrick Ness ve Nick Podehl,175,12,33,2014,İngilizce,511,Walker Books Ltd
The Amityville Horror,by Jay Anson,213,12,29,1983,İngilizce,188,Pan Books
Excession,by Iain M. Banks,59,3,64,1997,İngilizce,389,Bantam Books
阿西莫夫: 机器人短篇全集,Isaac Asimov: the complete robot,109,7,36,2014,Çince,533,Jiang su wen yi chu ban she
The Ballad of Songbirds and Snakes,by Suzanne Collins,1047,50,67,2020,İngilizce,Sayfa sayısı bilgisi yok,Scholastic
Gece Yarısı Kütüphanesi,by Matt Haig,1126,30,57,2021-06,Türkçe,296,Domingo Yayınevi
Lucifer's hammer,by Larry Niven ve Jerry Pournelle,102,6,38,1998,İngilizce,629,Ballantine Pub. Group
El hombre terminal,by Michael Crichton,49,1,20,2008,İngilizce,304,Debolsillo
Dinotopia,A Land Apart from Time,120,2,20,May 1994,İngilizce,Sayfa sayısı bilgisi yok,Turner Pub
Sihrin En Koyu Tonu,by V. E. Schwab ve Julieta María Gorlero,198,2,60,"Oct 28, 2019",Türkçe,400,Pegasus Yayınları
The History of Mr. Polly,by H. G. Wells,26,1,4,2018,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
Annihilation,by Jeff VanderMeer,259,12,123,"Jan 1, 2015",Dil bilgisi yok,Sayfa sayısı bilgisi yok,"HARPER COLLINS, Fourth Estate Ltd"
The long earth,by Terry Pratchett ve Stephen Baxter,58,3,46,2013,İngilizce,Sayfa sayısı bilgisi yok,Corgi Books
The Windup Girl,by Paolo Bacigalupi,100,3,57,"Dec 01, 2010",İngilizce,Sayfa sayısı bilgisi yok,Orbit
Fantasmas,by Peter Straub,108,3,15,1989,İspanyolca,504,Plaza y Janés
Dragon Ball Z.,by Akira Toriyama,114,9,7,2005,İngilizce,176,Viz
The Peripheral,by William Gibson,131,3,48,"May 10, 2017",İspanyolca,480,Roca Editorial
Encounter,by Jane Yolen,111,8,5,1992,İngilizce,30,Harcourt Brace & Company
Next,by Michael Crichton ve Erik Singer,43,4,25,2006,İngilizce,431,HarperCollins Publishers
Armada,by Ernest Cline,72,1,53,2016,İngilizce,368,Penguin Random House
Star Wars Thrawn,by Timothy Zahn ve Albert Agut Iglesias,123,6,28,"Jan 15, 2019",Fransızca,512,Planeta Cómic
Le rideau de ténèbres,by Dean Koontz,62,5,12,"March 16, 1998",Fransızca,281,Pocket
La justice de l'ancillaire,by Ann Leckie,127,3,94,"Sep 23, 2015",Fransızca,448,J'AI LU
Specials,"[dans le monde de l'extrême beauté, pas de place pour la pitié]",80,3,35,2008,Fransızca,391,Pocket Jeunesse
Uglies,by Scott Westerfeld,201,9,18,2014,Undetermined,Sayfa sayısı bilgisi yok,Simon and Schuster
Royal assassin,by Robin Hobb ve Arnaud Mousnier-Lompré,53,1,40,1996,İngilizce,581,Bantam Books
Star Wars: The Last Command,The Thrawn Trilogy - Volume Three,53,2,36,1993,İngilizce,407,Bantam Books
Beşinci Mevsim,by N. K. Jemisin,179,3,42,"Oct 27, 2017",Türkçe,492,Dex Yayinevi
Shatter me,by Tahereh Mafi,6170,444,251,2011,İngilizce,Sayfa sayısı bilgisi yok,HarperTeen
Bumi manusia,sebuah roman,577,39,78,1980,Endonezce,353,Hasta Mitra
Reamde,by Neal Stephenson,53,5,59,2011,İngilizce,1056,"Atlantic Books, Limited"
Das Ikarus-Gen,by James Patterson,59,4,12,2006,Almanca,Sayfa sayısı bilgisi yok,Ehrenwirth Verlag
The chessmen of Mars,by Edgar Rice Burroughs,23,14,0,1922,İngilizce,375,Grosset & Dunlap
Abaddon’s Gate,by James S. A. Corey,35,90,0,2013,İngilizce,566,Orbit
Minecraft: The Island,by Max Brooks,177,5,10,"Sep 26, 2017",İngilizce,300,Century
Pandora's Star,by Peter F. Hamilton,76,3,38,2015,İngilizce,994,"Pan Macmillan, Pan Books"
3001,the final odyssey,47,38,0,1998,İngilizce,286,Charnwood
Jiao tu shi lian,by James Dashner,289,15,87,2012,Çince,359,San cai wen hua chu ban shi ye you xian gong si
Miss Peregrine y los niños peculiares,by Ransom Riggs ve Jesse Bernstein,480,23,91,"Jul 26, 2016",İspanyolca,416,"Planeta Publishing, Planeta"
Redshirts: A Novel with Three Codas,by John Scalzi,62,1,95,"Jan 15, 2013",İngilizce,320,Tor Books
El amanecer del dragón,by Anne McCaffrey,59,2,21,1990,İspanyolca,507,Acervo
Babylon's Ashes (The Expanse),by James S. A. Corey,48,4,72,"Oct 24, 2017",İngilizce,576,Orbit
Swan song,by Robert R. McCammon,96,7,29,1987,İngilizce,956,Pocket Books
Blindsight,by Peter Watts,124,5,72,"October 3, 2006",İngilizce,384,Tor Books
Permutation city,by Greg Egan,69,5,26,1994,İngilizce,340,"HarperPrism, EOS"
